Date,Open,High,Low,Close,Adj Close,Volume,P/N
1/2/2018,86.129997,86.309998,85.5,85.949997,83.256378,22483800,Negative
1/3/2018,86.059998,86.510002,85.970001,86.349998,83.643845,26061400,Positive
1/4/2018,86.589996,87.660004,86.57,87.110001,84.380028,21912000,Positive
1/5/2018,87.660004,88.410004,87.43,88.190002,85.426178,23407100,Positive
1/8/2018,88.199997,88.580002,87.599998,88.279999,85.513359,22113000,Positive
1/9/2018,88.650002,88.730003,87.860001,88.220001,85.455238,19484300,Negative
1/10/2018,87.860001,88.190002,87.410004,87.82,85.06778,18652200,Negative
1/11/2018,88.129997,88.129997,87.239998,88.080002,85.319633,17808900,Negative
1/12/2018,88.669998,89.779999,88.449997,89.599998,86.791992,24271500,Positive
1/16/2018,90.099998,90.790001,88.010002,88.349998,85.581161,36599700,Negative
1/17/2018,89.080002,90.279999,88.75,90.139999,87.315063,25621200,Positive
1/18/2018,89.800003,90.669998,89.660004,90.099998,87.276321,24159700,Positive
1/19/2018,90.139999,90.610001,89.660004,90,87.179459,36875000,Negative
1/22/2018,90,91.620003,89.739998,91.610001,88.739006,23601600,Positive
1/23/2018,91.900002,92.300003,91.540001,91.900002,89.01992,23412800,Negative
1/24/2018,92.550003,93.43,91.580002,91.82,88.942421,33277500,Negative
1/25/2018,92.470001,93.239998,91.93,92.330002,89.436432,26383200,Negative
1/26/2018,93.120003,94.059998,92.580002,94.059998,91.112213,29172200,Positive
1/29/2018,95.139999,95.449997,93.720001,93.919998,90.976601,31569900,Negative
1/30/2018,93.300003,93.660004,92.099998,92.739998,89.833588,38635100,Negative
1/31/2018,93.75,95.400002,93.510002,95.010002,92.032455,48756300,Positive
2/1/2018,94.790001,96.07,93.580002,94.260002,91.305946,47227900,Negative
2/2/2018,93.639999,93.970001,91.5,91.779999,88.903671,47867800,Negative
2/5/2018,90.559998,93.239998,88,88,85.242134,51031500,Negative
2/6/2018,86.889999,91.480003,85.25,91.330002,88.467781,67998600,Positive
2/7/2018,90.489998,91.769997,89.199997,89.610001,86.801689,41107600,Negative
2/8/2018,89.709999,89.879997,84.760002,85.010002,82.345848,55628700,Negative
2/9/2018,86.300003,88.93,83.830002,88.18,85.416489,63499100,Positive
2/12/2018,88.739998,89.779999,87.93,89.129997,86.336708,35720300,Positive
2/13/2018,88.93,90,87.800003,89.830002,87.014778,26407700,Positive
2/14/2018,88.510002,90.989998,88.410004,90.809998,88.377274,34960900,Positive
2/15/2018,91.209999,92.720001,90.620003,92.660004,90.177727,27823900,Positive
2/16/2018,92.449997,93.5,91.800003,92,89.535393,30596900,Negative
2/20/2018,91.480003,93.059998,91.010002,92.720001,90.236115,30911700,Positive
2/21/2018,92.980003,93.360001,91.489998,91.489998,89.039063,26922500,Negative
2/22/2018,92.050003,92.730003,91.360001,91.730003,89.272644,24392800,Negative
2/23/2018,93.599998,94.07,92.360001,94.059998,91.540215,26329200,Positive
2/26/2018,94.400002,95.449997,94.25,95.419998,92.863777,30199800,Positive
2/27/2018,95.739998,95.839996,94.199997,94.199997,91.676453,25869100,Negative
2/28/2018,94.839996,95.709999,93.629997,93.769997,91.257973,31167300,Negative
3/1/2018,93.989998,94.57,91.839996,92.849998,90.362617,37135600,Negative
3/2/2018,91.580002,93.150002,90.860001,93.050003,90.557266,32830400,Positive
3/5/2018,92.339996,94.269997,92.260002,93.639999,91.131462,23901600,Positive
3/6/2018,94.339996,94.489998,92.940002,93.32,90.820038,22175800,Negative
3/7/2018,93.160004,93.940002,92.43,93.860001,91.345573,26716100,Positive
3/8/2018,94.269997,95.099998,93.769997,94.43,91.900299,25887800,Positive
3/9/2018,95.290001,96.540001,95,96.540001,93.953796,36937300,Positive
3/12/2018,96.5,97.209999,96.040001,96.769997,94.177605,26073700,Positive
3/13/2018,97,97.239998,93.970001,94.410004,91.880836,35387800,Negative
3/14/2018,95.120003,95.410004,93.5,93.849998,91.335838,32132000,Negative
3/15/2018,93.529999,94.580002,92.830002,94.18,91.656998,27611000,Positive
3/16/2018,94.68,95.379997,93.919998,94.599998,92.06575,49081300,Negative
3/19/2018,93.739998,93.900002,92.110001,92.889999,90.401558,33344100,Negative
3/20/2018,93.050003,93.769997,93,93.129997,90.635124,23075200,Positive
3/21/2018,92.93,94.050003,92.209999,92.480003,90.002548,24457100,Negative
3/22/2018,91.269997,91.75,89.660004,89.790001,87.384605,38604700,Negative
3/23/2018,89.5,90.459999,87.080002,87.18,84.844528,44068900,Negative
3/26/2018,90.610001,94,90.400002,93.779999,91.267723,56396800,Positive
3/27/2018,94.940002,95.139999,88.510002,89.470001,87.073189,56569000,Negative
3/28/2018,89.82,91.230003,88.870003,89.389999,86.995323,52501100,Negative
3/29/2018,90.18,92.290001,88.400002,91.269997,88.824951,45867500,Positive
4/2/2018,90.470001,90.879997,87.510002,88.519997,86.148628,48515400,Negative
4/3/2018,89.580002,90.050003,87.889999,89.709999,87.306747,37213800,Positive
4/4/2018,87.849998,92.760002,87.730003,92.330002,89.85656,35560000,Positive
4/5/2018,92.440002,93.07,91.400002,92.379997,89.905212,29771900,Negative
4/6/2018,91.489998,92.459999,89.480003,90.230003,87.812813,38026000,Negative
4/9/2018,91.040001,93.169998,90.620003,90.769997,88.338348,31533900,Negative
4/10/2018,92.389999,93.279999,91.639999,92.879997,90.39183,26812000,Positive
4/11/2018,92.010002,93.290001,91.480003,91.860001,89.399147,24872100,Negative
4/12/2018,92.43,94.160004,92.43,93.580002,91.073074,26758900,Positive
4/13/2018,94.050003,94.18,92.440002,93.080002,90.586479,23346100,Negative
4/16/2018,94.07,94.660004,93.419998,94.169998,91.64727,20288100,Positive
4/17/2018,95,96.540001,94.879997,96.07,93.496376,26771000,Positive
4/18/2018,96.220001,96.720001,95.519997,96.440002,93.856453,21043300,Positive
4/19/2018,96.440002,97.07,95.339996,96.110001,93.535294,23552500,Negative
4/20/2018,95.910004,96.110001,94.050003,95,92.455032,31154400,Negative
4/23/2018,95.739998,96.290001,94.629997,95.349998,92.795654,22331800,Negative
4/24/2018,96.239998,96.470001,92.410004,93.120003,90.625397,34524800,Negative
4/25/2018,93.300003,93.300003,90.279999,92.309998,89.837105,33729300,Negative
4/26/2018,93.550003,95.150002,93.099998,94.260002,91.734856,42529000,Positive
4/27/2018,97.599998,97.900002,93.910004,95.82,93.253059,48272800,Negative
4/30/2018,96.330002,96.400002,93.150002,93.519997,91.014671,41523600,Negative
5/1/2018,93.209999,95.290001,92.790001,95,92.455032,31408900,Positive
5/2/2018,94.989998,95.169998,93.190002,93.510002,91.004951,27471000,Negative
5/3/2018,92.959999,94.93,92.449997,94.07,91.54995,31142500,Positive
5/4/2018,93.32,95.370003,92.919998,95.160004,92.610741,22531300,Positive
5/7/2018,95.169998,96.709999,95.099998,96.220001,93.642357,24242000,Positive
5/8/2018,95.849998,96.160004,95.059998,95.809998,93.243332,23484600,Negative
5/9/2018,96.010002,96.970001,95.050003,96.940002,94.343063,27327400,Positive
5/10/2018,97.459999,97.949997,97.050003,97.910004,95.287094,22388100,Positive
5/11/2018,97.800003,97.870003,97.040001,97.699997,95.082695,16778300,Negative
5/14/2018,97.919998,98.690002,97.309998,98.029999,95.403854,19454100,Positive
5/15/2018,97.239998,97.849998,96.339996,97.32,94.712875,24594000,Positive
5/16/2018,97.360001,97.400002,96.620003,97.150002,94.957253,17384700,Negative
5/17/2018,96.760002,97.540001,95.830002,96.18,94.00914,17246700,Negative
5/18/2018,96.010002,96.93,96.010002,96.360001,94.185074,17865800,Positive
5/21/2018,97,98.010002,96.800003,97.599998,95.397087,19422500,Positive
5/22/2018,97.68,98.169998,97.199997,97.5,95.299347,15441200,Negative
5/23/2018,96.709999,98.730003,96.32,98.660004,96.433167,21251200,Positive
5/24/2018,98.730003,98.940002,96.809998,98.309998,96.091064,26649300,Negative
5/25/2018,98.300003,98.980003,97.860001,98.360001,96.139931,18363900,Positive
5/29/2018,97.839996,98.879997,97.230003,98.010002,95.797836,28671000,Positive
5/30/2018,98.309998,99.25,97.910004,98.949997,96.716606,22158500,Positive
5/31/2018,99.290001,99.989998,98.610001,98.839996,96.609093,34140900,Negative
6/1/2018,99.279999,100.860001,99.169998,100.790001,98.515076,28655600,Positive
6/4/2018,101.260002,101.860001,100.849998,101.669998,99.375214,27281600,Positive
6/5/2018,102,102.330002,101.529999,102.190002,99.883492,23514400,Positive
6/6/2018,102.480003,102.599998,101.900002,102.489998,100.176704,21122900,Positive
6/7/2018,102.650002,102.690002,100.379997,100.879997,98.603058,28232200,Negative
6/8/2018,101.089996,101.949997,100.540001,101.629997,99.336121,22165100,Positive
6/11/2018,101.010002,101.589996,100.669998,101.050003,98.769218,23490900,Positive
6/12/2018,101.099998,101.449997,100.75,101.309998,99.023338,18325200,Positive
6/13/2018,101.720001,102.010002,100.559998,100.849998,98.573723,29492900,Negative
6/14/2018,101.650002,102.029999,101,101.419998,99.130867,25691800,Negative
6/15/2018,101.510002,101.529999,100.07,100.129997,97.869972,65738600,Negative
6/18/2018,100.010002,101.110001,99.419998,100.860001,98.583504,23586000,Positive
6/19/2018,99.650002,101,99.5,100.860001,98.583504,28653100,Positive
6/20/2018,101.370003,102.519997,101.120003,101.870003,99.570709,26180800,Positive
6/21/2018,102.080002,102.459999,100.879997,101.139999,98.857185,23198200,Negative
6/22/2018,100.410004,100.769997,99.629997,100.410004,98.143669,38923100,Negative
6/25/2018,100,100.110001,97.300003,98.389999,96.16925,35433300,Negative
6/26/2018,98.82,100.080002,98.75,99.080002,96.843681,26897200,Positive
6/27/2018,99.580002,100.019997,97.400002,97.540001,95.33844,31298400,Negative
6/28/2018,97.379997,99.110001,97.260002,98.629997,96.403831,26650700,Positive
6/29/2018,98.93,99.910004,98.330002,98.610001,96.384285,28053200,Negative
7/2/2018,98.099998,100.059998,98,100.010002,97.752686,19564500,Positive
7/3/2018,100.480003,100.629997,98.940002,99.050003,96.814369,14670300,Negative
7/5/2018,99.5,99.919998,99.029999,99.760002,97.508339,18977400,Positive
7/6/2018,99.889999,101.43,99.669998,101.160004,98.87674,19234600,Positive
7/9/2018,101.650002,102.25,101.25,101.849998,99.551155,18212000,Positive
7/10/2018,102,102.510002,101.860001,102.120003,99.815071,19293100,Positive
7/11/2018,101.150002,102.339996,101.099998,101.980003,99.678223,19644600,Positive
7/12/2018,102.769997,104.410004,102.730003,104.190002,101.838333,24335900,Positive
7/13/2018,104.370003,105.599998,104.089996,105.43,103.050362,24635200,Positive
7/16/2018,105.400002,105.82,104.519997,104.910004,102.542091,21786900,Negative
7/17/2018,104.610001,106.5,104.32,105.949997,103.558609,25901700,Positive
7/18/2018,105.940002,106.050003,104.720001,105.120003,102.747353,29493900,Negative
7/19/2018,104.93,105.309998,103.889999,104.400002,102.043602,40171600,Negative
7/20/2018,108.080002,108.199997,106.080002,106.269997,103.871399,56004000,Negative
7/23/2018,106.300003,108.139999,106.129997,107.970001,105.533028,29707000,Positive
7/24/2018,108.57,108.82,107.260002,107.660004,105.230026,26316600,Negative
7/25/2018,107.959999,111.150002,107.599998,110.830002,108.328468,30702100,Positive
7/26/2018,110.739998,111,109.5,109.620003,107.145782,31372100,Negative
7/27/2018,110.18,110.18,106.139999,107.68,105.249565,37005300,Negative
7/30/2018,107.190002,107.529999,104.760002,105.370003,102.991714,34668300,Negative
7/31/2018,106.489998,106.720001,105.379997,106.080002,103.685684,27655200,Negative
8/1/2018,106.029999,106.449997,105.419998,106.279999,103.881157,23628700,Positive
8/2/2018,105.400002,108.089996,104.839996,107.57,105.142059,26104300,Positive
8/3/2018,107.800003,108.050003,106.82,108.040001,105.601448,18659600,Positive
8/6/2018,108.120003,108.419998,107.559998,108.129997,105.689407,20265900,Positive
8/7/2018,108.559998,109.099998,108.169998,108.879997,106.422485,16080200,Positive
8/8/2018,109.330002,109.75,108.760002,109.489998,107.018723,15487500,Positive
8/9/2018,109.709999,110.160004,109.599998,109.669998,107.194649,13677200,Negative
8/10/2018,109.419998,109.690002,108.379997,109,106.539772,18183700,Negative
8/13/2018,109.239998,109.580002,108.099998,108.209999,105.767616,18472500,Negative
8/14/2018,108.559998,109.75,108.040001,109.559998,107.087128,16788300,Positive
8/15/2018,108.489998,108.989998,106.82,107.660004,105.634979,29982800,Negative
8/16/2018,108.300003,108.860001,107.300003,107.639999,105.615364,21384300,Negative
8/17/2018,107.360001,107.900002,106.690002,107.580002,105.556488,18061500,Positive
8/20/2018,107.510002,107.900002,106.480003,106.870003,104.85984,17914200,Negative
8/21/2018,106.919998,107.349998,105.849998,105.980003,103.98658,22881900,Negative
8/22/2018,105.849998,107.339996,105.779999,107.059998,105.046257,18000600,Positive
8/23/2018,107.150002,108.18,106.870003,107.559998,105.53685,18167700,Positive
8/24/2018,107.669998,108.559998,107.559998,108.400002,106.361061,17234000,Positive
8/27/2018,109.269997,109.639999,108.510002,109.599998,107.538483,19662300,Positive
8/28/2018,109.940002,110.5,109.790001,110.260002,108.186066,19151500,Positive
8/29/2018,110.449997,112.029999,110.269997,112.019997,109.912964,20818000,Positive
8/30/2018,111.669998,112.610001,111.440002,111.949997,109.844284,22798700,Positive
8/31/2018,111.690002,112.779999,111.519997,112.330002,110.217133,23222700,Positive
9/4/2018,110.849998,111.959999,110.220001,111.709999,109.608795,22634600,Positive
9/5/2018,111.010002,111.419998,108.099998,108.489998,106.449364,32872400,Negative
9/6/2018,108.25,108.989998,107.510002,108.739998,106.694664,23477600,Positive
9/7/2018,108.230003,108.720001,107.230003,108.209999,106.174637,22498600,Negative
9/10/2018,108.839996,109.639999,108.360001,109.379997,107.322617,20727900,Positive
9/11/2018,108.900002,111.589996,108.889999,111.239998,109.147644,24301800,Positive
9/12/2018,111.43,111.849998,110.510002,111.709999,109.608795,18891100,Positive
9/13/2018,112.120003,113.730003,112.120003,112.910004,110.786232,26055600,Positive
9/14/2018,113.360001,113.730003,112.440002,113.370003,111.237587,19122300,Positive
9/17/2018,113.690002,113.699997,111.860001,112.139999,110.030708,20736500,Negative
9/18/2018,112.190002,113.699997,111.720001,113.209999,111.080582,22170900,Positive
9/19/2018,113.050003,113.32,111.040001,111.699997,109.598991,21728400,Negative
9/20/2018,112.279999,113.800003,111.93,113.57,111.433823,23714500,Positive
9/21/2018,114,115.290001,113.510002,114.260002,112.110832,71229700,Positive
9/24/2018,113.029999,114.900002,112.220001,114.669998,112.513123,27334500,Positive
9/25/2018,114.800003,115.099998,113.75,114.449997,112.297264,22668000,Negative
9/26/2018,114.470001,115.059998,113.739998,113.980003,111.836105,19352000,Negative
9/27/2018,114.779999,114.910004,114.199997,114.410004,112.258026,19091300,Negative
9/28/2018,114.190002,114.57,113.68,114.370003,112.218773,21647800,Positive
10/1/2018,114.75,115.68,114.730003,115.610001,113.435432,18883100,Positive
10/2/2018,115.300003,115.839996,114.440002,115.150002,112.9841,20787200,Negative
10/3/2018,115.419998,116.18,114.93,115.169998,113.003723,16648000,Negative
10/4/2018,114.610001,114.760002,111.629997,112.790001,110.668488,34821700,Negative
10/5/2018,112.629997,113.169998,110.639999,112.129997,110.020897,29068900,Negative
10/8/2018,111.660004,112.029999,109.339996,110.849998,108.764969,29640600,Negative
10/9/2018,111.139999,113.080002,110.800003,112.260002,110.148453,26198600,Positive
10/10/2018,111.239998,111.5,105.790001,106.160004,104.163193,61376300,Negative
10/11/2018,105.349998,108.93,104.199997,105.910004,103.917892,63904300,Positive
10/12/2018,109.010002,111.239998,107.120003,109.57,107.509056,47742100,Positive
10/15/2018,108.910004,109.480003,106.949997,107.599998,105.576111,32068100,Negative
10/16/2018,109.540001,111.410004,108.949997,111,108.912148,31610200,Positive
10/17/2018,111.68,111.809998,109.550003,110.709999,108.627602,26548200,Negative
10/18/2018,110.099998,110.529999,107.830002,108.5,106.459183,32506200,Negative
10/19/2018,108.93,110.860001,108.209999,108.660004,106.616165,32785500,Negative
10/22/2018,109.32,110.540001,108.239998,109.629997,107.567917,26545600,Positive
10/23/2018,107.769997,108.970001,105.110001,108.099998,106.066696,43770400,Positive
10/24/2018,108.410004,108.489998,101.589996,102.32,100.395424,63897800,Negative
10/25/2018,106.550003,109.269997,106.150002,108.300003,106.262939,61646800,Positive
10/26/2018,105.690002,108.75,104.760002,106.959999,104.948143,55523100,Positive
10/29/2018,108.110001,108.699997,101.629997,103.849998,101.896637,55162000,Negative
10/30/2018,103.660004,104.379997,100.110001,103.730003,101.7789,65350900,Positive
10/31/2018,105.440002,108.139999,105.389999,106.809998,104.800964,51062400,Positive
11/1/2018,107.050003,107.32,105.529999,105.919998,103.927696,33384200,Negative
11/2/2018,106.480003,107.32,104.980003,106.160004,104.163193,37680200,Negative
11/5/2018,106.370003,107.739998,105.900002,107.510002,105.487793,27922100,Positive
11/6/2018,107.379997,108.839996,106.279999,107.720001,105.693848,24340200,Positive
11/7/2018,109.440002,112.239998,109.400002,111.959999,109.854095,37901700,Positive
11/8/2018,111.800003,112.209999,110.910004,111.75,109.648048,25644100,Negative
11/9/2018,110.849998,111.449997,108.760002,109.57,107.509056,32039200,Negative
11/12/2018,109.419998,109.959999,106.099998,106.870003,104.85984,33621800,Negative
11/13/2018,107.550003,108.739998,106.639999,106.940002,104.928528,35374600,Negative
11/14/2018,108.099998,108.260002,104.470001,104.970001,103.440529,39495100,Negative
11/15/2018,104.989998,107.800003,103.910004,107.279999,105.716866,38505200,Positive
11/16/2018,107.080002,108.879997,106.800003,108.290001,106.712151,33502100,Positive
11/19/2018,108.269997,108.559998,103.550003,104.620003,103.095619,44773900,Negative
11/20/2018,101.800003,102.970001,99.349998,101.709999,100.228027,64052500,Negative
11/21/2018,103.599998,104.43,102.239998,103.110001,101.60762,28130600,Negative
11/23/2018,102.169998,103.809998,102,103.07,101.568207,13823100,Positive
11/26/2018,104.790001,106.629997,104.580002,106.470001,104.918671,32336200,Positive
11/27/2018,106.269997,107.330002,105.360001,107.139999,105.578896,29124500,Positive
11/28/2018,107.889999,111.330002,107.860001,111.120003,109.500916,46788500,Positive
11/29/2018,110.330002,111.120003,109.029999,110.190002,108.584465,28123200,Negative
11/30/2018,110.699997,110.970001,109.360001,110.889999,109.274261,33665600,Positive
12/3/2018,113,113.419998,110.730003,112.089996,110.456779,34732800,Negative
12/4/2018,111.940002,112.639999,108.209999,108.519997,106.938789,45197000,Negative
12/6/2018,105.82,109.239998,105,109.190002,107.599037,49107400,Positive
12/7/2018,108.379997,109.449997,104.300003,104.82,103.292702,45044900,Negative
12/10/2018,104.800003,107.980003,103.889999,107.589996,106.022339,40801500,Positive
12/11/2018,109.800003,110.949997,107.440002,108.589996,107.007774,42381900,Negative
12/12/2018,110.889999,111.269997,109.040001,109.080002,107.490639,36183000,Negative
12/13/2018,109.580002,110.870003,108.629997,109.449997,107.85524,31333400,Negative
12/14/2018,108.25,109.260002,105.5,106.029999,104.485077,47043100,Negative
12/17/2018,105.410004,105.800003,101.709999,102.889999,101.390823,56957300,Negative
12/18/2018,103.75,104.510002,102.519997,103.970001,102.455093,49319200,Positive
12/19/2018,103.650002,106.879997,101.349998,103.690002,102.179176,68198200,Positive
12/20/2018,103.050003,104.309998,98.779999,101.510002,100.030937,70334200,Negative
12/21/2018,101.629997,103,97.459999,98.230003,96.798729,111242100,Negative
12/24/2018,97.68,97.970001,93.980003,94.129997,92.758461,43935200,Negative
12/26/2018,95.139999,100.690002,93.959999,100.559998,99.094772,51634800,Positive
12/27/2018,99.300003,101.190002,96.400002,101.18,99.705742,49498500,Positive
12/28/2018,102.089996,102.410004,99.519997,100.389999,98.927246,38196300,Negative
12/31/2018,101.290001,102.400002,100.440002,101.57,100.090057,33173800,Positive
1/2/2019,99.550003,101.75,98.940002,101.120003,99.646614,35329300,Positive
1/3/2019,100.099998,100.190002,97.199997,97.400002,95.98082,42579100,Negative
1/4/2019,99.720001,102.510002,98.93,101.93,100.444817,44060600,Positive
1/7/2019,101.639999,103.269997,100.980003,102.059998,100.572922,35656100,Positive
1/8/2019,103.040001,103.970001,101.709999,102.800003,101.302139,31514400,Negative
